"last_name, first_name","player_id","year","pa","k_percent","bb_percent","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Burke, Sean",680732,2025,147,17,9.5,".303",".620",".344",".424",".384",".317",".368",".480",43.8,15.2,42.9,"72.637452308","94.671482788",26.6,44.8
"Verlander, Justin",434378,2025,157,20.4,8.3,".241",".425",".316",".315",".303",".184",".363",".360",33.9,8.9,35.7,"76.846574464","93.606211339",27.1,52.3
"Greene, Hunter",668881,2025,165,33.3,4.8,".187",".376",".255",".265",".236",".189",".351",".366",31,11,43,"80.8978194","94.6986146",32.4,56.4
"Fried, Max",608331,2025,181,21.5,6.1,".236",".369",".239",".296",".300",".133",".257",".340",28.3,6.3,36.2,"76.090222063","93.77214864",22.9,45.7
"Elder, Bryce",693821,2025,138,15.9,8.7,".269",".467",".347",".341",".329",".198",".380",".372",27.9,7.7,42.3,"77.257827692","94.523042885",17.6,44.1
"Hendricks, Kyle",543294,2025,124,12.9,9.7,".260",".465",".312",".352",".345",".205",".307",".361",30.9,8.5,29.8,"72.162591277","92.730684043",16.7,45.3
"Yamamoto, Yoshinobu",808967,2025,153,32,8.5,".210",".294",".232",".258",".277",".084",".291",".335",28.6,4.4,39.6,"78.081315652","94.485528681",32.6,46.3
"Gilbert, Logan",669302,2025,117,37.6,5.1,".203",".314",".226",".250",".251",".111",".326",".368",28.8,4.5,40.9,"79.114525152","94.245194697",38.3,51.3
"Alcantara, Sandy",645261,2025,120,15.8,14.2,".302",".524",".348",".397",".399",".223",".356",".426",35.7,10.7,46.4,"80.002701905","95.260670476",25.1,46.3
"Skubal, Tarik",669373,2025,160,30,3.1,".241",".371",".260",".278",".270",".130",".354",".383",36.8,5.7,32.1,"74.473448462","92.898224904",32.5,54.8
"Roupp, Landen",694738,2025,135,25.9,10.4,".233",".357",".356",".298",".313",".123",".446",".356",38.4,4.7,26.7,"75.812392143","92.92868",32.6,43.3
"Blanco, Ronel",669854,2025,120,21.7,11.7,".214",".395",".315",".305",".303",".181",".350",".336",23.8,10,33.8,"76.920425385","92.913363333",32.8,46.7
"Nola, Aaron",605400,2025,173,26,7.5,".266",".435",".333",".334",".330",".169",".418",".419",34.5,8.8,41.6,"78.680788214","94.609796518",27.1,46.9
"Lively, Ben",594902,2025,148,16.9,7.4,".262",".479",".321",".341",".317",".217",".356",".382",35.7,10.7,44.6,"82.809755357","95.187432321",16.3,48.1
"Warren, Will",701542,2025,131,26,11.5,".270",".441",".342",".344",".351",".171",".420",".424",34.6,11.1,54.3,"84.6631855","96.465106",26.4,38.5
"Pallante, Andre",669467,2025,158,13.3,10.1,".308",".473",".357",".371",".378",".165",".375",".393",26.4,7.4,47.9,"78.421046066","95.338260992",22.6,44.1
"Feltner, Ryan",663372,2025,135,18.5,8.9,".231",".357",".341",".290",".299",".125",".384",".314",27.6,4.1,35.7,"79.828118958","94.387792083",26.5,48.5
